id,currentLocationX,currentLocationY,floor,capabilities,centerFreq0,centerFreq1,channelWidth,frequency,RSS,roomNumber,MAC,,,,,
6362,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-84,134,34:fc:b9:60:db:f0,,,,,
6363,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-86,134,34:fc:b9:60:db:f0,,,,,
6364,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-86,134,34:fc:b9:60:db:f0,,,,,
6365,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-90,134,44:48:c1:be:19:41,,,,,
6366,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5755,0,1,5745,-94,134,6c:f3:7f:84:be:c8,,,,,
6367,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5755,0,1,5745,-90,134,6c:f3:7f:84:be:c8,,,,,
6368,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-92,134,44:48:c1:be:5b:a0,,,,,
6369,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-91,134,44:48:c1:be:1a:a0,,,,,
6370,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-71,134,f0:5c:19:f8:81:80,,,,,
6371,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-71,134,f0:5c:19:f8:81:80,,,,,
6372,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-89,134,44:48:c1:be:34:f0,,,,,
6373,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-93,134,44:48:c1:be:36:21,,,,,
6374,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-87,134,44:48:c1:be:30:00,,,,,
6375,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-94,134,34:fc:b9:60:c4:40,,,,,
6376,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-94,134,44:48:c1:be:3c:40,,,,,
6377,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-93,134,44:48:c1:be:38:20,,,,,
6378,296.6451111,617.1726685,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-89,134,44:48:c1:be:1a:f0,,,,,
6379,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-66,134,24:de:c6:3f:f0:30,,,,,
6380,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-61,134,24:de:c6:3f:f0:30,,,,,
6381,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-65,134,24:de:c6:3f:f0:30,,,,,
6382,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-75,134,34:fc:b9:60:d5:90,,,,,
6383,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-78,134,34:fc:b9:60:d5:90,,,,,
